total_imports_exports_and_balance_trade,year,trade_type,value_million_usd,country_code
"Total, all countries or areas",1995-01-01,imports,5099057,
"Total, all countries or areas",2005-01-01,imports,10577013,
"Total, all countries or areas",2010-01-01,imports,15275115,
"Total, all countries or areas",2015-01-01,imports,16482346,
"Total, all countries or areas",2019-01-01,imports,18955484,
"Total, all countries or areas",2020-01-01,imports,17590084,
"Total, all countries or areas",2021-01-01,imports,22252697,
"Total, all countries or areas",1995-01-01,exports,5050238,
"Total, all countries or areas",2005-01-01,exports,10373445,
"Total, all countries or areas",2010-01-01,exports,15102218,
"Total, all countries or areas",2015-01-01,exports,16384279,
"Total, all countries or areas",2019-01-01,exports,18632193,
"Total, all countries or areas",2020-01-01,exports,17342672,
"Total, all countries or areas",2021-01-01,exports,22139630,
"Total, all countries or areas",1995-01-01,balance_import_export,-48819,
"Total, all countries or areas",2005-01-01,balance_import_export,-203568,
"Total, all countries or areas",2010-01-01,balance_import_export,-172897,
"Total, all countries or areas",2015-01-01,balance_import_export,-98067,
"Total, all countries or areas",2019-01-01,balance_import_export,-323291,
"Total, all countries or areas",2020-01-01,balance_import_export,-247412,
"Total, all countries or areas",2021-01-01,balance_import_export,-113067,
Africa,1995-01-01,imports,114352,
Africa,2005-01-01,imports,246228,
Africa,2010-01-01,imports,468435,
Africa,2015-01-01,imports,547529,
Africa,2019-01-01,imports,564030,
Africa,2020-01-01,imports,496167,
Africa,2021-01-01,imports,593682,
Africa,1995-01-01,exports,103460,
Africa,2005-01-01,exports,306656,
Africa,2010-01-01,exports,496594,
Africa,2015-01-01,exports,402988,
Africa,2019-01-01,exports,462806,
Africa,2020-01-01,exports,388396,
Africa,2021-01-01,exports,554934,
Africa,1995-01-01,balance_import_export,-10892,
Africa,2005-01-01,balance_import_export,60428,
Africa,2010-01-01,balance_import_export,28159,
Africa,2015-01-01,balance_import_export,-144542,
Africa,2019-01-01,balance_import_export,-101225,
Africa,2020-01-01,balance_import_export,-107771,
Africa,2021-01-01,balance_import_export,-38748,
Northern Africa,1995-01-01,imports,45062,
Northern Africa,2005-01-01,imports,87571,
Northern Africa,2010-01-01,imports,181147,
Northern Africa,2015-01-01,imports,205560,
Northern Africa,2019-01-01,imports,223756,
Northern Africa,2020-01-01,imports,180449,
Northern Africa,2021-01-01,imports,215514,
Northern Africa,1995-01-01,exports,33043,
Northern Africa,2005-01-01,exports,114104,
Northern Africa,2010-01-01,exports,165544,
