country_code,year,paper_pulp_prod_tonnes,paper_pulp_export_tonnes,paper_pulp_import_tonnes,wood_pulp_production_tonnes,wood_pulp_export_tonnes,wood_pulp_import_tonnes,paper_price,wood_pulp_price
ALB,2020,0.0,0.0,1794.0,0.0,0.0,29.0,190.98333333333335,141.64166666666668
DZA,2020,2000.0,24.0,102614.0,,24.0,102617.0,190.98333333333335,141.64166666666668
AGO,2020,0.0,706.0,17642.0,0.0,706.0,17643.0,190.98333333333335,141.64166666666668
ARG,2020,733000.0,193689.0,238613.0,620000.0,193670.0,238536.0,190.98333333333335,141.64166666666668
ARM,2020,0.0,0.0,43.0,0.0,0.0,33.0,190.98333333333335,141.64166666666668
AUS,2020,1395000.0,415.0,284342.0,1395000.0,414.0,283705.0,190.98333333333335,141.64166666666668
AUT,2020,1581019.0,301348.0,542669.0,2022186.0,442167.0,576476.0,190.98333333333335,141.64166666666668
AZE,2020,0.0,0.0,50.0,0.0,0.0,43.0,190.98333333333335,141.64166666666668
BGD,2020,65000.0,6.0,342884.0,47000.0,6.0,343293.0,190.98333333333335,141.64166666666668
BLR,2020,291000.0,216200.0,17600.0,291000.0,215600.0,17200.0,190.98333333333335,141.64166666666668
BEL,2020,516800.0,586578.0,838128.0,515010.0,641910.0,908604.0,190.98333333333335,141.64166666666668
BIH,2020,70000.0,0.0,41370.0,70000.0,0.0,41323.0,190.98333333333335,141.64166666666668
BRA,2020,21016000.0,15950770.0,209062.0,21558000.0,16480045.0,200135.0,190.98333333333335,141.64166666666668
BGR,2020,238785.0,65732.0,11645.0,238785.0,65730.0,12453.0,190.98333333333335,141.64166666666668
KHM,2020,0.0,25.0,2860.0,,25.0,2876.0,190.98333333333335,141.64166666666668
CMR,2020,0.0,,454.0,0.0,,492.0,190.98333333333335,141.64166666666668
CAN,2020,14843378.0,8670247.0,422539.0,15423378.0,9018275.0,418032.0,190.98333333333335,141.64166666666668
CHL,2020,5156000.0,4246477.0,18248.0,5156000.0,4246477.0,17851.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,26519807.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,149752.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,250730.0,0.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
CHN,2020,18275201.0,21889.0,26519807.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
